,pcode,timestamp,step_count
0,P001,2021-11-24 02:00:00,726
1,P001,2021-11-24 03:00:00,437
2,P001,2021-11-24 04:00:00,627
3,P001,2021-11-24 05:00:00,291
4,P001,2021-11-24 06:00:00,269
5,P001,2021-11-24 07:00:00,62
6,P001,2021-11-24 08:00:00,465
7,P001,2021-11-24 09:00:00,121
8,P001,2021-11-24 10:00:00,257
9,P001,2021-11-24 11:00:00,1126
10,P001,2021-11-24 12:00:00,8
11,P001,2021-11-24 13:00:00,22
12,P001,2021-11-24 14:00:00,75
13,P001,2021-11-24 15:00:00,64
14,P001,2021-11-24 16:00:00,36
15,P001,2021-11-24 17:00:00,5
16,P001,2021-11-24 18:00:00,9
17,P001,2021-11-24 19:00:00,0
18,P001,2021-11-24 20:00:00,0
19,P001,2021-11-24 21:00:00,0
20,P001,2021-11-24 22:00:00,0
21,P001,2021-11-24 23:00:00,8
22,P001,2021-11-25 00:00:00,7
23,P001,2021-11-25 01:00:00,345
24,P001,2021-11-25 02:00:00,1822
25,P001,2021-11-25 03:00:00,815
26,P001,2021-11-25 04:00:00,1219
27,P001,2021-11-25 05:00:00,25
28,P001,2021-11-25 06:00:00,98
29,P001,2021-11-25 07:00:00,305
30,P001,2021-11-25 08:00:00,436
31,P001,2021-11-25 09:00:00,5
32,P001,2021-11-25 10:00:00,275
33,P001,2021-11-25 11:00:00,918
34,P001,2021-11-25 12:00:00,11
35,P001,2021-11-25 13:00:00,0
36,P001,2021-11-25 14:00:00,720
37,P001,2021-11-25 15:00:00,167
38,P001,2021-11-25 16:00:00,23
39,P001,2021-11-25 17:00:00,149
40,P001,2021-11-25 18:00:00,0
41,P001,2021-11-25 19:00:00,0
42,P001,2021-11-25 20:00:00,0
43,P001,2021-11-25 21:00:00,0
44,P001,2021-11-25 22:00:00,0
45,P001,2021-11-25 23:00:00,0
46,P001,2021-11-26 00:00:00,7
47,P001,2021-11-26 01:00:00,1373
48,P001,2021-11-26 02:00:00,187
49,P001,2021-11-26 03:00:00,49
50,P001,2021-11-26 04:00:00,701
51,P001,2021-11-26 05:00:00,4
52,P001,2021-11-26 06:00:00,270
53,P001,2021-11-26 07:00:00,1136
54,P001,2021-11-26 08:00:00,770
55,P001,2021-11-26 09:00:00,84
56,P001,2021-11-26 10:00:00,40
57,P001,2021-11-26 11:00:00,930
58,P001,2021-11-26 12:00:00,7
59,P001,2021-11-26 13:00:00,0
60,P001,2021-11-26 14:00:00,146
61,P001,2021-11-26 15:00:00,75
62,P001,2021-11-26 16:00:00,33
63,P001,2021-11-26 17:00:00,65
64,P001,2021-11-26 18:00:00,0
65,P001,2021-11-26 19:00:00,0
66,P001,2021-11-26 20:00:00,18
67,P001,2021-11-26 21:00:00,0
68,P001,2021-11-26 22:00:00,0
69,P001,2021-11-26 23:00:00,6
70,P001,2021-11-27 00:00:00,0
71,P001,2021-11-27 01:00:00,7
72,P001,2021-11-27 02:00:00,0
73,P001,2021-11-27 03:00:00,803
74,P001,2021-11-27 04:00:00,47
75,P001,2021-11-27 05:00:00,83
76,P001,2021-11-27 06:00:00,278
77,P001,2021-11-27 07:00:00,4
78,P001,2021-11-27 08:00:00,256
79,P001,2021-11-27 09:00:00,1276
80,P001,2021-11-27 10:00:00,38
81,P001,2021-11-27 11:00:00,215
82,P001,2021-11-27 12:00:00,8
83,P001,2021-11-27 13:00:00,976
84,P001,2021-11-27 14:00:00,145
85,P001,2021-11-27 15:00:00,51
86,P001,2021-11-27 16:00:00,0
87,P001,2021-11-27 17:00:00,17
88,P001,2021-11-27 18:00:00,41
89,P001,2021-11-27 19:00:00,0
90,P001,2021-11-27 20:00:00,0
91,P001,2021-11-27 21:00:00,6
92,P001,2021-11-27 22:00:00,0
93,P001,2021-11-27 23:00:00,0
94,P001,2021-11-28 00:00:00,0
95,P001,2021-11-28 01:00:00,0
96,P001,2021-11-28 02:00:00,121
97,P001,2021-11-28 03:00:00,923
98,P001,2021-11-28 04:00:00,408
99,P001,2021-11-28 05:00:00,1974
100,P001,2021-11-28 06:00:00,10
101,P001,2021-11-28 07:00:00,1278
102,P001,2021-11-28 08:00:00,220
103,P001,2021-11-28 09:00:00,1394
104,P001,2021-11-28 10:00:00,4
105,P001,2021-11-28 11:00:00,0
106,P001,2021-11-28 12:00:00,66
107,P001,2021-11-28 13:00:00,849
108,P001,2021-11-28 14:00:00,0
109,P001,2021-11-28 15:00:00,64
110,P001,2021-11-28 16:00:00,35
111,P001,2021-11-28 17:00:00,334
112,P001,2021-11-28 18:00:00,52
113,P001,2021-11-28 19:00:00,4
114,P001,2021-11-28 20:00:00,0
115,P001,2021-11-28 21:00:00,0
116,P001,2021-11-28 22:00:00,0
117,P001,2021-11-28 23:00:00,0
118,P001,2021-11-29 00:00:00,1889
119,P001,2021-11-29 01:00:00,51
120,P001,2021-11-29 02:00:00,1335
121,P001,2021-11-29 03:00:00,1191
122,P001,2021-11-29 04:00:00,875
123,P001,2021-11-29 05:00:00,370
124,P001,2021-11-29 06:00:00,391
125,P001,2021-11-29 07:00:00,233
126,P001,2021-11-29 08:00:00,94
127,P001,2021-11-29 09:00:00,297
128,P001,2021-11-29 10:00:00,196
129,P001,2021-11-29 11:00:00,1177
130,P001,2021-11-29 12:00:00,172
131,P001,2021-11-29 13:00:00,11
132,P001,2021-11-29 14:00:00,11
133,P001,2021-11-29 15:00:00,6
134,P001,2021-11-29 16:00:00,0
135,P001,2021-11-29 17:00:00,0
136,P001,2021-11-29 18:00:00,349
137,P001,2021-11-29 19:00:00,18
138,P001,2021-11-29 20:00:00,0
139,P001,2021-11-29 21:00:00,0
140,P001,2021-11-29 22:00:00,0
141,P001,2021-11-29 23:00:00,0
142,P001,2021-11-30 00:00:00,181
143,P001,2021-11-30 01:00:00,1943
144,P001,2021-11-30 02:00:00,1113
145,P001,2021-11-30 03:00:00,1007
146,P001,2021-11-30 04:00:00,38
